Config: 2000 2 0 0.600000 0.300000 
1 	 1 	 1 	 0 	 1999 	 0 	 0 	 1999 
2 	 3 	 3 	 0 	 1997 	 0 	 0 	 1997 
3 	 4 	 4 	 0 	 1996 	 0 	 0 	 1996 
4 	 6 	 6 	 0 	 1994 	 0 	 0 	 1994 
5 	 8 	 8 	 0 	 1992 	 0 	 0 	 1992 
6 	 9 	 9 	 0 	 1991 	 0 	 0 	 1991 
7 	 12 	 13 	 2 	 1985 	 1 	 2 	 1985 
8 	 15 	 16 	 5 	 1979 	 1 	 5 	 1979 
9 	 16 	 17 	 6 	 1977 	 1 	 6 	 1977 
10 	 18 	 20 	 13 	 1967 	 2 	 13 	 1967 
11 	 19 	 25 	 17 	 1958 	 6 	 17 	 1958 
12 	 20 	 28 	 21 	 1951 	 8 	 21 	 1951 
13 	 20 	 30 	 29 	 1941 	 10 	 29 	 1941 
14 	 20 	 29 	 34 	 1937 	 9 	 34 	 1937 
15 	 20 	 39 	 41 	 1920 	 19 	 41 	 1920 
16 	 20 	 46 	 48 	 1906 	 26 	 48 	 1906 
17 	 20 	 51 	 57 	 1892 	 31 	 57 	 1892 
18 	 20 	 56 	 62 	 1882 	 36 	 62 	 1882 
19 	 20 	 65 	 70 	 1865 	 45 	 70 	 1865 
20 	 20 	 75 	 83 	 1842 	 55 	 83 	 1842 
21 	 20 	 85 	 98 	 1817 	 65 	 98 	 1817 
22 	 20 	 96 	 103 	 1801 	 76 	 103 	 1801 
23 	 20 	 103 	 111 	 1786 	 83 	 111 	 1786 
24 	 20 	 108 	 126 	 1766 	 88 	 126 	 1766 
25 	 20 	 128 	 134 	 1738 	 108 	 134 	 1738 
26 	 20 	 147 	 146 	 1707 	 127 	 146 	 1707 
27 	 20 	 162 	 160 	 1678 	 142 	 160 	 1678 
28 	 20 	 174 	 167 	 1659 	 154 	 167 	 1659 
29 	 20 	 184 	 175 	 1641 	 164 	 175 	 1641 
30 	 21 	 199 	 189 	 1612 	 178 	 189 	 1612 
31 	 21 	 211 	 195 	 1594 	 190 	 195 	 1594 
